lat_degs,lat_mins,lat_secs,lon_degs,lon_mins,lon_secs
-6.000000,9.000000,26.211960,71.000000,32.000000,19.859280
-6.000000,9.000000,26.212680,71.000000,32.000000,19.859640
-6.000000,9.000000,26.213760,71.000000,32.000000,19.859280
-6.000000,9.000000,26.214120,71.000000,32.000000,19.858560
-6.000000,9.000000,26.214480,71.000000,32.000000,19.858200
-6.000000,9.000000,26.215200,71.000000,32.000000,19.858560
-6.000000,9.000000,26.215920,71.000000,32.000000,19.859640
-6.000000,9.000000,26.216640,71.000000,32.000000,19.861440
-6.000000,9.000000,26.216280,71.000000,32.000000,19.862880
-6.000000,9.000000,26.214840,71.000000,32.000000,19.863600
-6.000000,9.000000,26.213040,71.000000,32.000000,19.863600
-6.000000,9.000000,26.210880,71.000000,32.000000,19.861080
-6.000000,9.000000,26.208720,71.000000,32.000000,19.858560
-6.000000,9.000000,26.207280,71.000000,32.000000,19.856400
-6.000000,9.000000,26.206920,71.000000,32.000000,19.854600
-6.000000,9.000000,26.207280,71.000000,32.000000,19.853520
-6.000000,9.000000,26.208360,71.000000,32.000000,19.853880
-6.000000,9.000000,26.210160,71.000000,32.000000,19.853520
-6.000000,9.000000,26.211960,71.000000,32.000000,19.854240
-6.000000,9.000000,26.213040,71.000000,32.000000,19.855320
-6.000000,9.000000,26.213400,71.000000,32.000000,19.856760
-6.000000,9.000000,26.213400,71.000000,32.000000,19.857120
-6.000000,9.000000,26.213040,71.000000,32.000000,19.858200
-6.000000,9.000000,26.213040,71.000000,32.000000,19.858920
-6.000000,9.000000,26.212680,71.000000,32.000000,19.860000
-6.000000,9.000000,26.212680,71.000000,32.000000,19.860360
-6.000000,9.000000,26.213400,71.000000,32.000000,19.859640
-6.000000,9.000000,26.213400,71.000000,32.000000,19.858200
-6.000000,9.000000,26.213040,71.000000,32.000000,19.856400
-6.000000,9.000000,26.212680,71.000000,32.000000,19.854960
-6.000000,9.000000,26.211960,71.000000,32.000000,19.852080
-6.000000,9.000000,26.211600,71.000000,32.000000,19.850280
-6.000000,9.000000,26.210880,71.000000,32.000000,19.848480
-6.000000,9.000000,26.210160,71.000000,32.000000,19.848120
-6.000000,9.000000,26.210160,71.000000,32.000000,19.848120
-6.000000,9.000000,26.210520,71.000000,32.000000,19.848120
-6.000000,9.000000,26.210520,71.000000,32.000000,19.849200
-6.000000,9.000000,26.210520,71.000000,32.000000,19.850280
-6.000000,9.000000,26.211600,71.000000,32.000000,19.852080
-6.000000,9.000000,26.213040,71.000000,32.000000,19.853880
-6.000000,9.000000,26.215200,71.000000,32.000000,19.856400
-6.000000,9.000000,26.217360,71.000000,32.000000,19.858920
-6.000000,9.000000,26.217720,71.000000,32.000000,19.859640
-6.000000,9.000000,26.216280,71.000000,32.000000,19.858920
-6.000000,9.000000,26.213760,71.000000,32.000000,19.857480
-6.000000,9.000000,26.211240,71.000000,32.000000,19.856040
-6.000000,9.000000,26.208720,71.000000,32.000000,19.853520
-6.000000,9.000000,26.206200,71.000000,32.000000,19.851720
-6.000000,9.000000,26.205480,71.000000,32.000000,19.851720
-6.000000,9.000000,26.204760,71.000000,32.000000,19.851360
-6.000000,9.000000,26.204760,71.000000,32.000000,19.852440
-6.000000,9.000000,26.204760,71.000000,32.000000,19.854240
-6.000000,9.000000,26.204400,71.000000,32.000000,19.855320
-6.000000,9.000000,26.203320,71.000000,32.000000,19.855320
-6.000000,9.000000,26.202240,71.000000,32.000000,19.854960
-6.000000,9.000000,26.200440,71.000000,32.000000,19.854240
-6.000000,9.000000,26.199360,71.000000,32.000000,19.853880
-6.000000,9.000000,26.199720,71.000000,32.000000,19.854240
-6.000000,9.000000,26.201160,71.000000,32.000000,19.854600
-6.000000,9.000000,26.202600,71.000000,32.000000,19.856040
-6.000000,9.000000,26.203680,71.000000,32.000000,19.858200
-6.000000,9.000000,26.204040,71.000000,32.000000,19.860000
-6.000000,9.000000,26.204040,71.000000,32.000000,19.861080
-6.000000,9.000000,26.203320,71.000000,32.000000,19.862520
-6.000000,9.000000,26.202240,71.000000,32.000000,19.863240
-6.000000,9.000000,26.201520,71.000000,32.000000,19.862520
-6.000000,9.000000,26.201160,71.000000,32.000000,19.861800
-6.000000,9.000000,26.200440,71.000000,32.000000,19.860360
-6.000000,9.000000,26.199360,71.000000,32.000000,19.858560
-6.000000,9.000000,26.197920,71.000000,32.000000,19.856040
-6.000000,9.000000,26.195400,71.000000,32.000000,19.853880
-6.000000,9.000000,26.192880,71.000000,32.000000,19.852800
-6.000000,9.000000,26.190720,71.000000,32.000000,19.851360
-6.000000,9.000000,26.189640,71.000000,32.000000,19.851720
-6.000000,9.000000,26.190360,71.000000,32.000000,19.852440
-6.000000,9.000000,26.191440,71.000000,32.000000,19.853520
-6.000000,9.000000,26.192520,71.000000,32.000000,19.854240
-6.000000,9.000000,26.193600,71.000000,32.000000,19.855320
-6.000000,9.000000,26.194320,71.000000,32.000000,19.856040
-6.000000,9.000000,26.193600,71.000000,32.000000,19.857120
-6.000000,9.000000,26.192520,71.000000,32.000000,19.857480
-6.000000,9.000000,26.191440,71.000000,32.000000,19.857480
-6.000000,9.000000,26.189640,71.000000,32.000000,19.857120
-6.000000,9.000000,26.190000,71.000000,32.000000,19.857120
